album_name_live,track_name_studio,artist_name_studio,track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness,difference_duration,difference_overall,key_variable
Live Trax Vol. 7: Hampton Coliseum,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU7jef5SevykjOkPSYgPC4ch,0.07,3.549,0.0187,-0.042,0.0021,0.114,0.0671,324947,0.31389999999999996,difference_valence
Live Trax Vol. 5: Meadow Brook Music Festival,Warehouse,Dave Matthews Band,2YuZ0tk2sTmoiO3nqpHVLm29jwGXS5FzS9YxffjHslk3,0.172,-0.784,0.0161,0.068,0.0003,0.026,-0.0307,26467,0.3131,difference_energy
Live Trax Vol. 16: Riverbend Music Center,Warehouse,Dave Matthews Band,2YuZ0tk2sTmoiO3nqpHVLm53W19D4lqTLwAh8pTpbUJ5,0.018,-6.779,0.0064,0.157,-0.0002,-0.101,-0.0302,92507,0.3128,difference_dance
Live Trax Vol. 11: SPAC,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz56h4lkn9ufFdCBqqg1biQr,0.069,10.387,-0.0259,-0.077,0.0033,-0.016,-0.1202,41173,0.3114,difference_energy
Live Trax Vol. 11: SPAC,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf56h4lkn9ufFdCBqqg1biQr,0.069,10.387,-0.0259,-0.077,0.0033,-0.016,-0.1202,41173,0.3114,difference_energy
Live Trax Vol. 1: Centrum Centre,Don't Drink the Water,Dave Matthews Band,1uzVvumt4H6CIxVXlkNdlz4UhGXSrvuQ3DVLgauNrYRG,0.144,15.266,-0.0062,-0.079,0.0026,0.036,0.036,21586,0.3038,difference_energy
Live Trax Vol. 1: Centrum Centre,Don't Drink the Water,Dave Matthews Band,3HWGGf3ZEfvqmzWyppxhqf4UhGXSrvuQ3DVLgauNrYRG,0.144,15.266,-0.0062,-0.079,0.0026,0.036,0.036,21586,0.3038,difference_energy
Live Trax Vol. 3: Meadows Music Theatre,Bartender,Dave Matthews Band,4b08ATxMr59xjM8GePxlwq5HaqZFO969KpXV1Qw3wn6c,-0.034,-0.152,0.0052,-0.088,0.0606,-0.03,-0.0844,91293,0.3022,difference_instrumentalness
Live Trax Vol. 3: Meadows Music Theatre,Bartender,Dave Matthews Band,3Cygu4ytxgsXL3JzPbQV8E5HaqZFO969KpXV1Qw3wn6c,-0.034,-0.152,0.0052,-0.088,0.0606,-0.03,-0.0844,91293,0.3022,difference_instrumentalness
Live Trax Vol. 3: Meadows Music Theatre,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q3OHXWtm81VompS1u1pZVqJ,0.049,-4.334,0.0087,0.09,-0.0261,-0.09,0.0362,44746,0.30000000000000004,difference_dance
Live Trax Vol. 3: Meadows Music Theatre,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj3OHXWtm81VompS1u1pZVqJ,0.049,-4.334,0.0087,0.09,-0.0261,-0.09,0.0362,44746,0.30000000000000004,difference_dance
Live Trax Vol. 17: Shoreline Amphitheatre,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j1vsihRF4nUuXFMPmrDXRsP,0.054,3.286,0.0086,-0.009,0.0001,0.204,0.0228,112774,0.2985,difference_valence
Live Trax Vol. 17: Shoreline Amphitheatre,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU1vsihRF4nUuXFMPmrDXRsP,0.054,3.286,0.0086,-0.009,0.0001,0.204,0.0228,112774,0.2985,difference_valence
Live Trax Vol. 15: Alpine Valley Music Theatre,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j6j4MNXfE06IzDruoED6Hus,-0.048,4.941,0.0024,-0.05,0.0582,-0.135,0.0034,615680,0.297,difference_instrumentalness
Live Trax Vol. 15: Alpine Valley Music Theatre,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU6j4MNXfE06IzDruoED6Hus,-0.048,4.941,0.0024,-0.05,0.0582,-0.135,0.0034,615680,0.297,difference_instrumentalness
"Live Trax Vol. 29: Blossom Music Center, Cuyahoga Falls, OH",Rooftop,Dave Matthews Band,409p5xbocYqFOpUW9YJTl675dpQNVKUQRPkeaopKy5ji,-0.018,7.168,0.0183,-0.06,0.0,-0.086,-0.1121,100770,0.2944,difference_speechiness
Live Trax Vol. 6: Fenway Park,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j1YHzA597PMlcRDp7e44c5P,0.019,5.777,0.0121,-0.002,0.0043,0.091,0.1649,391720,0.2933,difference_acousticness
Live Trax Vol. 6: Fenway Park,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU1YHzA597PMlcRDp7e44c5P,0.019,5.777,0.0121,-0.002,0.0043,0.091,0.1649,391720,0.2933,difference_acousticness
Live Trax Vol. 2: Golden Gate Park,Stay (Wasting Time),Dave Matthews Band,2prt7Yn1NheVqcNcpoplSp2Es7SmbNnXyMfWFxttyWFD,0.041,0.564,0.0068,-0.084,-2.13e-06,-0.081,-0.0769,73507,0.28970213,difference_energy
Live Trax Vol. 2: Golden Gate Park,Stay (Wasting Time),Dave Matthews Band,1p0PzZlqLyWIYxg0odxIZp2Es7SmbNnXyMfWFxttyWFD,0.041,0.564,0.0068,-0.084,-2.13e-06,-0.081,-0.0769,73507,0.28970213,difference_energy
Live Trax Vol. 22: Montage Mountain,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j4nF4IfFmuxT2jEWCON8cML,0.026,2.335,0.0214,-0.078,0.1516,-0.004,-0.0073,683187,0.2883,difference_instrumentalness
Live Trax Vol. 22: Montage Mountain,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU4nF4IfFmuxT2jEWCON8cML,0.026,2.335,0.0214,-0.078,0.1516,-0.004,-0.0073,683187,0.2883,difference_instrumentalness
Live Trax Vol. 1: Centrum Centre,The Last Stop,Dave Matthews Band,7mp99lXUc8HcYWrBBMR9Ir0aTBJV8j898f3DSLDDZTLV,-0.053,5.229,-0.0472,0.023,0.0264,0.019,0.1152,783826,0.28380000000000005,difference_acousticness
Live Trax Vol. 1: Centrum Centre,The Last Stop,Dave Matthews Band,6GBYQHfTtIJtJX7Hg9cMIP0aTBJV8j898f3DSLDDZTLV,-0.053,5.229,-0.0472,0.023,0.0264,0.019,0.1152,783826,0.28380000000000005,difference_acousticness
Live Trax Vol. 19: Vivo Rio,Warehouse,Dave Matthews Band,2YuZ0tk2sTmoiO3nqpHVLm3zjNnILdpLAoLdMAxFYtbv,0.117,-4.841,0.0194,0.034,0.0019,0.018,-0.0918,200569,0.2821,difference_energy
Live Trax Vol. 5: Meadow Brook Music Festival,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q3l7z1uJkeFLeHjOk2l8TsJ,0.071,-0.163,0.0081,0.02,-0.026,-0.125,0.0292,40133,0.2793,difference_energy
Live Trax Vol. 5: Meadow Brook Music Festival,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj3l7z1uJkeFLeHjOk2l8TsJ,0.071,-0.163,0.0081,0.02,-0.026,-0.125,0.0292,40133,0.2793,difference_energy
Live Trax Vol. 1: Centrum Centre,Too Much,Dave Matthews Band,7oOtjbGZNF9pyVEbzQwyNX4yImrXCQiH6ZAiXblrYgX2,0.05,-0.708,0.0013,0.015,0.0464,-0.124,0.04,15934,0.2767,difference_energy
Live Trax Vol. 1: Centrum Centre,Too Much,Dave Matthews Band,0i2jSWCwjjOVzfnvJJ2Sii4yImrXCQiH6ZAiXblrYgX2,0.05,-0.708,0.0013,0.015,0.0464,-0.124,0.04,15934,0.2767,difference_energy
Live At Piedmont Park,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j5JMABxM2PIV8EEuGb9gCrt,0.047,-0.006,0.0048,-0.07,0.0126,-0.03,0.1049,420960,0.2693,difference_acousticness
Live At Piedmont Park,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j1bPR7ai6gkdhuP3wLjWaK5,0.047,-0.006,0.0048,-0.07,0.0126,-0.03,0.1049,420960,0.2693,difference_acousticness
Live At Piedmont Park,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU5JMABxM2PIV8EEuGb9gCrt,0.047,-0.006,0.0048,-0.07,0.0126,-0.03,0.1049,420960,0.2693,difference_acousticness
Live At Piedmont Park,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU1bPR7ai6gkdhuP3wLjWaK5,0.047,-0.006,0.0048,-0.07,0.0126,-0.03,0.1049,420960,0.2693,difference_acousticness
Live Trax Vol. 12: L.B. Day Amphitheater,Warehouse,Dave Matthews Band,2YuZ0tk2sTmoiO3nqpHVLm12MjHuqA7EEewkl694W0B9,0.102,0.967,0.006,0.105,0.0018,0.043,0.0079,62627,0.2657,difference_dance
Live Trax Vol. 11: SPAC,Rhyme & Reason,Dave Matthews Band,0sQB7vU9UQ7LrOrOvqUWGB5rEJwvRLVKBhmzMascv0uN,0.152,-2.544,0.0031,-0.091,0.0002,-0.017,-0.0007,42707,0.264,difference_energy
"Live Trax Vol. 29: Blossom Music Center, Cuyahoga Falls, OH",Idea of You,Dave Matthews Band,0vWmAxnSj0FCyaCEwwvvPU1Ih0HW8ufK5SkVm1Uq2bJ1,-0.051,0.587,0.0067,-0.165,0.0,-0.034,0.004,10416,0.26070000000000004,difference_speechiness
Live Trax Vol. 11: SPAC,Grace Is Gone,Dave Matthews Band,36ZS04J2JbV1SH4LhbPWyI5yz7lk6aGZjlS0F7qXvQWU,-0.042,-8.456,-0.0076,-0.089,0.0026,-0.071,-0.047,34027,0.2592,difference_instrumentalness
Live Trax Vol. 11: SPAC,Grace Is Gone,Dave Matthews Band,7qn5jYvZmq17rPMt6z92vL5yz7lk6aGZjlS0F7qXvQWU,-0.042,-8.456,-0.0076,-0.089,0.0026,-0.071,-0.047,34027,0.2592,difference_instrumentalness
Live Trax Vol. 22: Montage Mountain,Warehouse,Dave Matthews Band,2YuZ0tk2sTmoiO3nqpHVLm7qo8PuZrc2saoNa8ujxbtI,0.092,-2.698,0.043,0.058,0.0001,-0.022,0.0439,164427,0.259,difference_energy
Live Trax Vol. 4: Classic Amphitheatre,Too Much,Dave Matthews Band,7oOtjbGZNF9pyVEbzQwyNX5UKxsS4Kpgif4DQOIVPa0G,0.035,1.05,0.0623,-0.007,0.0382,-0.11,-0.0048,30054,0.25730000000000003,difference_speechiness
Live Trax Vol. 4: Classic Amphitheatre,Too Much,Dave Matthews Band,0i2jSWCwjjOVzfnvJJ2Sii5UKxsS4Kpgif4DQOIVPa0G,0.035,1.05,0.0623,-0.007,0.0382,-0.11,-0.0048,30054,0.25730000000000003,difference_speechiness
Live Trax Vol. 12: L.B. Day Amphitheater,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB80ngm6gXNdkM2HmjELLndvi,0.019,2.099,0.0121,-0.077,0.0005,-0.041,-0.1048,40974,0.2544,difference_energy
Live Trax Vol. 6: Fenway Park,Stay (Wasting Time),Dave Matthews Band,2prt7Yn1NheVqcNcpoplSp0Yt9kuOFUbcNJgc2jYTn9U,0.014,-5.888,-0.0143,-0.188,-3.13e-06,-0.009,-0.028,95427,0.25330313,difference_energy
Live Trax Vol. 6: Fenway Park,Stay (Wasting Time),Dave Matthews Band,1p0PzZlqLyWIYxg0odxIZp0Yt9kuOFUbcNJgc2jYTn9U,0.014,-5.888,-0.0143,-0.188,-3.13e-06,-0.009,-0.028,95427,0.25330313,difference_energy
Live Trax Vol. 2: Golden Gate Park,Jimi Thing,Dave Matthews Band,1ZqWroaJ6jk1CiufXZnQBr2FY3wHXcEfpyU6Gf8jVkPe,0.061,-3.522,0.0325,-0.079,0.0092,-0.07,0.0016,640413,0.2533,difference_energy
Live In New York City,Spaceman,Dave Matthews Band,66iyhNkr132mStKHOJ4RW43hnV91Ma5vswIovGXxUGtd,0.078,5.051,0.0205,-0.022,-0.0003,0.062,0.0696,65827,0.2524,difference_energy
Live In New York City,Spaceman,Dave Matthews Band,66iyhNkr132mStKHOJ4RW44ThIYXC3wglHT80eca2oTz,0.077,5.051,0.0207,-0.023,-0.0003,0.061,0.0696,65827,0.2516,difference_energy
"Live Trax Vol. 29: Blossom Music Center, Cuyahoga Falls, OH",Idea Of You,Dave Matthews Band,4D61qXYCY7mVzo0QQm5ehd1Ih0HW8ufK5SkVm1Uq2bJ1,-0.045,0.633,0.0018,-0.163,0.0,-0.007,0.027,10423,0.24380000000000002,difference_acousticness
Live Trax Vol. 20: Wetlands Preserve,Warehouse,Dave Matthews Band,2YuZ0tk2sTmoiO3nqpHVLm76MVTy5TaQFJxaZRiOZEUS,0.019,-1.101,0.0085,0.106,0.002,-0.09,-0.0161,89240,0.24159999999999998,difference_dance
The Central Park Concert,Stay (Wasting Time),Dave Matthews Band,2prt7Yn1NheVqcNcpoplSp4XCEz9zXCIwD121UKX7RiJ,0.032,-1.55,-0.0336,-0.097,-3.13e-06,-0.011,-0.0661,84254,0.23970313000000001,difference_energy
The Central Park Concert,Stay (Wasting Time),Dave Matthews Band,1p0PzZlqLyWIYxg0odxIZp4XCEz9zXCIwD121UKX7RiJ,0.032,-1.55,-0.0336,-0.097,-3.13e-06,-0.011,-0.0661,84254,0.23970313000000001,difference_energy
Live Trax Vol. 12: L.B. Day Amphitheater,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q4VXFAAh1qGUkc3bVOFKpQQ,-0.001,6.964,-0.0122,0.125,0.0604,-0.039,0.002,28400,0.2396,difference_dance
Live Trax Vol. 12: L.B. Day Amphitheater,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj4VXFAAh1qGUkc3bVOFKpQQ,-0.001,6.964,-0.0122,0.125,0.0604,-0.039,0.002,28400,0.2396,difference_dance
Live Trax Vol. 13: Busch Stadium,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j5K0f5htDKAyv0uHoDxMeQd,0.046,-1.311,0.0089,-0.041,0.08,-0.063,-0.0006,527787,0.23950000000000002,difference_instrumentalness
Live Trax Vol. 13: Busch Stadium,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU5K0f5htDKAyv0uHoDxMeQd,0.046,-1.311,0.0089,-0.041,0.08,-0.063,-0.0006,527787,0.23950000000000002,difference_instrumentalness
Live Trax Vol. 28: John Paul Jones Arena,Warehouse,Dave Matthews Band,2YuZ0tk2sTmoiO3nqpHVLm4ozpZLA4wWpowGqRoo4N4V,0.109,-1.467,0.0357,-0.004,0.0011,0.021,-0.0684,249187,0.23919999999999997,difference_energy
"Live Trax Vol. 30: The Muse, Nantucket, MA",Typical Situation,Dave Matthews Band,3iOPQrrQaPruAvQv4e1Lwb1AhjBqVuQJKJyh0fQukByC,0.09,1.369,-0.0101,0.013,0.0,-0.088,-0.037,158176,0.2381,difference_energy
Live Trax Vol. 21: SOMA,Warehouse,Dave Matthews Band,2YuZ0tk2sTmoiO3nqpHVLm12j0ksRAtEt99gv7PtXTF6,0.107,0.443,0.0254,0.056,-0.0002,-0.025,0.0209,91360,0.2345,difference_energy
Live At Folsom Field Boulder Colorado,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j3k7ji5WECpl6cPNxGjqMDa,0.041,3.442,0.0033,0.01,0.0023,0.087,0.0861,171627,0.22970000000000002,difference_valence
Live At Folsom Field Boulder Colorado,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j4aZWUFqNpsdy8P2EDxw9x2,0.041,3.442,0.0033,0.01,0.0023,0.087,0.0861,171627,0.22970000000000002,difference_valence
Live At Folsom Field Boulder Colorado,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU3k7ji5WECpl6cPNxGjqMDa,0.041,3.442,0.0033,0.01,0.0023,0.087,0.0861,171627,0.22970000000000002,difference_valence
Live At Folsom Field Boulder Colorado,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU4aZWUFqNpsdy8P2EDxw9x2,0.041,3.442,0.0033,0.01,0.0023,0.087,0.0861,171627,0.22970000000000002,difference_valence
Live In New York City,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j0f2iSYVr1DRezn80AskTEt,0.064,5.673,0.04,-0.07,0.017,-0.03,-0.0082,571294,0.22920000000000004,difference_energy
Live In New York City,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU0f2iSYVr1DRezn80AskTEt,0.064,5.673,0.04,-0.07,0.017,-0.03,-0.0082,571294,0.22920000000000004,difference_energy
Live In New York City,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j2RsNXbHgCHtZ5MvHy4qu3F,0.064,5.673,0.0399,-0.07,0.017,-0.028,-0.0082,571294,0.2271,difference_energy
Live In New York City,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU2RsNXbHgCHtZ5MvHy4qu3F,0.064,5.673,0.0399,-0.07,0.017,-0.028,-0.0082,571294,0.2271,difference_energy
DMB Live Trax Vol. 13,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j6mHfAXSgdFx7qguZF8etA0,0.045,-1.746,0.0083,-0.041,0.0728,-0.058,-0.0001,527787,0.2252,difference_instrumentalness
DMB Live Trax Vol. 13,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU6mHfAXSgdFx7qguZF8etA0,0.045,-1.746,0.0083,-0.041,0.0728,-0.058,-0.0001,527787,0.2252,difference_instrumentalness
Live At Wrigley Field,The Last Stop,Dave Matthews Band,7mp99lXUc8HcYWrBBMR9Ir37gbnp8JME4qXRW1eF6VXu,-0.063,10.238,0.034,-0.08,0.0,-0.037,-0.011,377106,0.22500000000000003,difference_speechiness
Live At Wrigley Field,The Last Stop,Dave Matthews Band,7mp99lXUc8HcYWrBBMR9Ir21ZI9rn8IZoOlefFquGFRD,-0.063,10.238,0.034,-0.08,0.0,-0.037,-0.011,377106,0.22500000000000003,difference_speechiness
Live At Wrigley Field,The Last Stop,Dave Matthews Band,6GBYQHfTtIJtJX7Hg9cMIP37gbnp8JME4qXRW1eF6VXu,-0.063,10.238,0.034,-0.08,0.0,-0.037,-0.011,377106,0.22500000000000003,difference_speechiness
Live At Wrigley Field,The Last Stop,Dave Matthews Band,6GBYQHfTtIJtJX7Hg9cMIP21ZI9rn8IZoOlefFquGFRD,-0.063,10.238,0.034,-0.08,0.0,-0.037,-0.011,377106,0.22500000000000003,difference_speechiness
Live Trax Vol. 17: Shoreline Amphitheatre,Too Much,Dave Matthews Band,7oOtjbGZNF9pyVEbzQwyNX61bp7CmEj2GEaQQy7BZPct,0.035,2.247,0.0054,0.008,-0.0043,-0.171,0.0003,18374,0.22400000000000003,difference_energy
Live Trax Vol. 17: Shoreline Amphitheatre,Too Much,Dave Matthews Band,0i2jSWCwjjOVzfnvJJ2Sii61bp7CmEj2GEaQQy7BZPct,0.035,2.247,0.0054,0.008,-0.0043,-0.171,0.0003,18374,0.22400000000000003,difference_energy
Live In Chicago 12.19.98 at The United Center,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB80StUA1IH0W2iTsulKecL6n,0.024,-6.417,-0.0047,-0.013,-0.0004,0.069,-0.1078,101067,0.21890000000000004,difference_valence
"Live Trax Vol. 29: Blossom Music Center, Cuyahoga Falls, OH",Warehouse,Dave Matthews Band,2YuZ0tk2sTmoiO3nqpHVLm0UFJWlPymIiEYnAZMlzbcZ,0.068,-1.74,0.0175,0.063,-0.0002,-0.053,-0.011,177976,0.21270000000000003,difference_energy
Live Trax Vol. 18: Virginia Beach Amphitheatre,Drive in Drive Out,Dave Matthews Band,22uGhosSApYImC4ccHry1q2VtDMuGaH0Xquu6TtO7isI,0.007,0.094,0.0102,0.151,-0.0145,-0.029,0.0005,13226,0.2122,difference_dance
Live Trax Vol. 18: Virginia Beach Amphitheatre,Drive in Drive Out,Dave Matthews Band,2gg2kPH4HtIMDAzLEdIyOj2VtDMuGaH0Xquu6TtO7isI,0.007,0.094,0.0102,0.151,-0.0145,-0.029,0.0005,13226,0.2122,difference_dance
Live Trax Vol. 18: Virginia Beach Amphitheatre,Warehouse,Dave Matthews Band,2YuZ0tk2sTmoiO3nqpHVLm5eFGbo2dXG9MH6CqhrctJe,0.062,-0.882,0.007,-0.04,0.0038,0.013,-0.0819,169547,0.20770000000000002,difference_energy
Live Trax Vol. 19: Vivo Rio,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j5xqbENV3uc1kt8hJlCu4qs,0.006,3.179,0.0135,-0.041,0.1206,0.01,-0.0087,662970,0.1998,difference_instrumentalness
Live Trax Vol. 19: Vivo Rio,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU5xqbENV3uc1kt8hJlCu4qs,0.006,3.179,0.0135,-0.041,0.1206,0.01,-0.0087,662970,0.1998,difference_instrumentalness
Live At Folsom Field Boulder Colorado,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB828XkTMFqa6y83pkaiITlay,0.021,-6.827,0.0196,-0.07,-0.0006,-0.025,-0.0628,71774,0.199,difference_energy
Live At Folsom Field Boulder Colorado,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB83VA98h3B2xaEwkE1y35dwN,0.021,-6.832,0.0196,-0.07,-0.0006,-0.025,-0.0628,71774,0.199,difference_energy
Live In New York City,Shake Me Like a Monkey,Dave Matthews Band,2EnE3fcPFZKcngycnspq8Q3N885khPEtPnckdwO9GsyG,0.032,6.066,0.0344,-0.091,-3.73e-06,0.019,-0.0139,-7667,0.19030373,difference_speechiness
Live In New York City,Shake Me Like a Monkey,Dave Matthews Band,2EnE3fcPFZKcngycnspq8Q68tIMDxPdvhriOKbkycB1t,0.032,6.066,0.0344,-0.091,-3.73e-06,0.019,-0.0139,-7667,0.19030373,difference_speechiness
Live At Mile High Music Festival,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j7JcxffmXhX0vT9dEpbHRFQ,0.031,2.666,0.0127,-0.047,0.014,-0.076,-0.0036,458440,0.18430000000000002,difference_energy
Live At Mile High Music Festival,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j2SiS2GbZr4RzE8DI20oVwZ,0.031,2.666,0.0127,-0.047,0.014,-0.076,-0.0036,458440,0.18430000000000002,difference_energy
Live At Mile High Music Festival,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU7JcxffmXhX0vT9dEpbHRFQ,0.031,2.666,0.0127,-0.047,0.014,-0.076,-0.0036,458440,0.18430000000000002,difference_energy
Live At Mile High Music Festival,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU2SiS2GbZr4RzE8DI20oVwZ,0.031,2.666,0.0127,-0.047,0.014,-0.076,-0.0036,458440,0.18430000000000002,difference_energy
Live Trax Vol. 28: John Paul Jones Arena,Spaceman,Dave Matthews Band,66iyhNkr132mStKHOJ4RW45hZGQh8sXUWto5vbmKucxV,0.019,7.35,0.039,-0.012,-0.0002,-0.078,0.0344,142067,0.18260000000000004,difference_speechiness
Live Trax Vol. 26: Sleep Train Amphitheater,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB87AMVSnB41bNb3TpUgbJ4nR,0.009,-4.502,0.0058,-0.005,0.0003,-0.068,0.089,78380,0.17709999999999998,difference_acousticness
Live In Chicago 12.19.98 at The United Center,The Last Stop,Dave Matthews Band,7mp99lXUc8HcYWrBBMR9Ir5VbF3QxPfbPHVy7yNAEShm,-0.015,4.21,-0.0295,0.043,0.0009,-0.077,-0.0114,246573,0.1768,difference_dance
Live In Chicago 12.19.98 at The United Center,The Last Stop,Dave Matthews Band,7mp99lXUc8HcYWrBBMR9Ir69XaVpnOI1YRCSA6Gcp9wj,-0.015,4.21,-0.0295,0.043,0.0009,-0.077,-0.0114,246573,0.1768,difference_dance
Live In Chicago 12.19.98 at The United Center,The Last Stop,Dave Matthews Band,6GBYQHfTtIJtJX7Hg9cMIP5VbF3QxPfbPHVy7yNAEShm,-0.015,4.21,-0.0295,0.043,0.0009,-0.077,-0.0114,246573,0.1768,difference_dance
Live In Chicago 12.19.98 at The United Center,The Last Stop,Dave Matthews Band,6GBYQHfTtIJtJX7Hg9cMIP69XaVpnOI1YRCSA6Gcp9wj,-0.015,4.21,-0.0295,0.043,0.0009,-0.077,-0.0114,246573,0.1768,difference_dance
Live Trax Vol. 6: Fenway Park,The Last Stop,Dave Matthews Band,7mp99lXUc8HcYWrBBMR9Ir2vx9ASmu0t49XdcIDHR4ja,-0.013,6.026,-0.0266,0.078,0.0,-0.054,0.0032,235293,0.17479999999999998,difference_dance
Live Trax Vol. 6: Fenway Park,The Last Stop,Dave Matthews Band,6GBYQHfTtIJtJX7Hg9cMIP2vx9ASmu0t49XdcIDHR4ja,-0.013,6.026,-0.0266,0.078,0.0,-0.054,0.0032,235293,0.17479999999999998,difference_dance
Live Trax Vol. 6: Fenway Park,The Last Stop,Dave Matthews Band,7mp99lXUc8HcYWrBBMR9Ir5DPTrukspODxcg26um5un8,-0.013,6.106,-0.0298,0.086,0.0,-0.042,0.0033,235293,0.17409999999999998,difference_dance
Live Trax Vol. 6: Fenway Park,The Last Stop,Dave Matthews Band,6GBYQHfTtIJtJX7Hg9cMIP5DPTrukspODxcg26um5un8,-0.013,6.106,-0.0298,0.086,0.0,-0.042,0.0033,235293,0.17409999999999998,difference_dance
Live Trax Vol. 21: SOMA,Two Step,Dave Matthews Band,2Ou1Hyvr08mr0pZauPvv6j6PXEBUb0f1Lj3CrtZeYxvS,-0.079,3.132,0.0094,-0.02,0.0,0.064,0.001,37347,0.1734,difference_valence
Live Trax Vol. 21: SOMA,Two Step,Dave Matthews Band,0yMKnrafrRbDNYX52PZEAU6PXEBUb0f1Lj3CrtZeYxvS,-0.079,3.132,0.0094,-0.02,0.0,0.064,0.001,37347,0.1734,difference_valence
Live Trax Vol. 11: SPAC,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB82haCsBdRNe39PjvR6vPrTZ,0.009,-7.408,0.0063,-0.057,-0.0004,0.033,-0.0639,102814,0.1696,difference_valence
Live Trax Vol. 8: Alpine Valley Music Theatre,Bartender,Dave Matthews Band,4b08ATxMr59xjM8GePxlwq5lKYKJ2xI2yUlPP5sovVmR,-0.068,0.166,-0.0132,0.033,0.0141,-0.01,0.0221,370453,0.16040000000000001,difference_dance
Live Trax Vol. 8: Alpine Valley Music Theatre,Bartender,Dave Matthews Band,3Cygu4ytxgsXL3JzPbQV8E5lKYKJ2xI2yUlPP5sovVmR,-0.068,0.166,-0.0132,0.033,0.0141,-0.01,0.0221,370453,0.16040000000000001,difference_dance
Live At Folsom Field Boulder Colorado,I Did It,Dave Matthews Band,4u1WFYkW7pFmFvyUqUKP1672UwXB3MJPFvMKhvAVZVLs,0.061,0.026,0.0121,-0.026,0.0,-0.031,-0.0026,7800,0.1327,difference_energy
Live At Folsom Field Boulder Colorado,I Did It,Dave Matthews Band,4u1WFYkW7pFmFvyUqUKP1643VWB4TOhab9KpnjSErJZs,0.061,0.026,0.0121,-0.026,0.0,-0.031,-0.0026,7800,0.1327,difference_energy
Live At Folsom Field Boulder Colorado,I Did It,Dave Matthews Band,76Nxn0HKnafkKgu19RX6bg72UwXB3MJPFvMKhvAVZVLs,0.061,0.026,0.0121,-0.026,0.0,-0.031,-0.0026,7800,0.1327,difference_energy
