album_name_live,track_name_studio,artist_name_studio,track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness
Live Trax Vol. 26: Sleep Train Amphitheater,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB87AMVSnB41bNb3TpUgbJ4nR,0.009,-4.502,0.0058,-0.005,0.0003,-0.068,0.089
Live Trax Vol. 2: Golden Gate Park,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB87kkuIwEbtnufs7HdPiYDKY,0.062,-5.188,0.0906,-0.109,-0.0004,-0.153,-0.0305
Live Trax Vol. 6: Fenway Park,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB828LLb2kSHjWnnw2ExQNkZW,0.044,-6.793,0.0075,-0.086,-0.0006,-0.064,0.122
Live Trax Vol. 6: Fenway Park,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB86FhKSZEmV7kkQZ7y1XM1ye,0.044,-6.82,0.0081,-0.086,-0.0006,-0.063,0.121
Live Trax Vol. 9: MGM Grand Garden Arena,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB824jakGlWKygnh3T6ScFlNX,0.053,-4.66,0.0415,-0.053,-0.0005,-0.236,-0.0834
The Central Park Concert,What Would You Say,Dave Matthews Band,58kdQwsAi2zHEiU2l0CBB85mYwym7p7xqWTITGNwUzQd,0.059,-4.464,0.0032,-0.096,-0.0002,0.042,-0.117
Live At Folsom Field Boulder Colorado,What You Are,Dave Matthews Band,14FiVm2uTh6qdehVrKut4A25gtV73JmiALM7njhQDiCe,-0.11,-2.071,0.0025,-0.282,-0.0096,-0.1603,0.0064
Live At Folsom Field Boulder Colorado,What You Are,Dave Matthews Band,14FiVm2uTh6qdehVrKut4A5lAkK8Q4GI2oD9IXJ5F7xY,-0.11,-2.067,0.0025,-0.286,-0.0096,-0.1604,0.0064
Live At Folsom Field Boulder Colorado,What You Are,Dave Matthews Band,1yCrLCtLupqZCXRKaNBWut25gtV73JmiALM7njhQDiCe,-0.11,-2.071,0.0025,-0.282,-0.0096,-0.1603,0.0064
Live At Folsom Field Boulder Colorado,What You Are,Dave Matthews Band,1yCrLCtLupqZCXRKaNBWut5lAkK8Q4GI2oD9IXJ5F7xY,-0.11,-2.067,0.0025,-0.286,-0.0096,-0.1604,0.0064
Live Trax Vol. 6: Fenway Park,What You Are,Dave Matthews Band,14FiVm2uTh6qdehVrKut4A2bH3uRNJywxum9SJWNARt3,0.083,5.51,0.0684,-0.255,-0.0096,-0.1723,0.0504
Live Trax Vol. 6: Fenway Park,What You Are,Dave Matthews Band,14FiVm2uTh6qdehVrKut4A4dNgSO83snAlcod4Yj7xHZ,0.08,5.566,0.0784,-0.225,-0.0096,-0.1795,0.0471
Live Trax Vol. 6: Fenway Park,What You Are,Dave Matthews Band,1yCrLCtLupqZCXRKaNBWut2bH3uRNJywxum9SJWNARt3,0.083,5.51,0.0684,-0.255,-0.0096,-0.1723,0.0504
Live Trax Vol. 6: Fenway Park,What You Are,Dave Matthews Band,1yCrLCtLupqZCXRKaNBWut4dNgSO83snAlcod4Yj7xHZ,0.08,5.566,0.0784,-0.225,-0.0096,-0.1795,0.0471
Live Trax Vol. 9: MGM Grand Garden Arena,What You Are,Dave Matthews Band,14FiVm2uTh6qdehVrKut4A2H631ZgRWpjUx79JKg0egC,0.106,3.61,0.042,-0.226,-0.0096,-0.1391,-0.0072
Live Trax Vol. 9: MGM Grand Garden Arena,What You Are,Dave Matthews Band,1yCrLCtLupqZCXRKaNBWut2H631ZgRWpjUx79JKg0egC,0.106,3.61,0.042,-0.226,-0.0096,-0.1391,-0.0072
The Central Park Concert,What You Are,Dave Matthews Band,14FiVm2uTh6qdehVrKut4A15kB41TAvTu9i2839w1RuQ,-0.012,2.401,0.0237,-0.22,-0.0096,-0.117,-0.0002
The Central Park Concert,What You Are,Dave Matthews Band,1yCrLCtLupqZCXRKaNBWut15kB41TAvTu9i2839w1RuQ,-0.012,2.401,0.0237,-0.22,-0.0096,-0.117,-0.0002
Live At Folsom Field Boulder Colorado,When the World Ends,Dave Matthews Band,14iPzoA5YzxH2HXItGeoT42oqf2QfyR5mJ8YIBWm7yum,0.08,34.611,0.0123,-0.109,-0.0026,-0.165,0.0038
Live At Folsom Field Boulder Colorado,When the World Ends,Dave Matthews Band,14iPzoA5YzxH2HXItGeoT47c6yHL7Vc2SauOZWOo76ZA,0.08,34.611,0.0123,-0.109,-0.0026,-0.165,0.0038
Live At Folsom Field Boulder Colorado,When the World Ends,Dave Matthews Band,1HQz5xSGE7aD1S4u5ZpWeA2oqf2QfyR5mJ8YIBWm7yum,0.08,34.611,0.0123,-0.109,-0.0026,-0.165,0.0038
Live At Folsom Field Boulder Colorado,When the World Ends,Dave Matthews Band,1HQz5xSGE7aD1S4u5ZpWeA7c6yHL7Vc2SauOZWOo76ZA,0.08,34.611,0.0123,-0.109,-0.0026,-0.165,0.0038
Live Trax Vol. 10: Pavilion Atlantico,When the World Ends,Dave Matthews Band,14iPzoA5YzxH2HXItGeoT479Xxid3AioFQEMIA7yPSdf,0.175,-1.206,0.1163,-0.041,-0.0026,-0.277,-0.016
Live Trax Vol. 10: Pavilion Atlantico,When the World Ends,Dave Matthews Band,1HQz5xSGE7aD1S4u5ZpWeA79Xxid3AioFQEMIA7yPSdf,0.175,-1.206,0.1163,-0.041,-0.0026,-0.277,-0.016
Live Trax Vol. 8: Alpine Valley Music Theatre,When the World Ends,Dave Matthews Band,14iPzoA5YzxH2HXItGeoT44EtSsnDnLYaKEXAIjuPcRN,0.165,69.3,0.1173,-0.102,-0.0026,-0.223,0.381
Live Trax Vol. 8: Alpine Valley Music Theatre,When the World Ends,Dave Matthews Band,1HQz5xSGE7aD1S4u5ZpWeA4EtSsnDnLYaKEXAIjuPcRN,0.165,69.3,0.1173,-0.102,-0.0026,-0.223,0.381
Live Trax Vol. 9: MGM Grand Garden Arena,When the World Ends,Dave Matthews Band,14iPzoA5YzxH2HXItGeoT43NWFskEY67uxa8KS5yWEiU,0.189,-0.617,0.0653,-0.021,-0.0026,-0.289,-0.015
Live Trax Vol. 9: MGM Grand Garden Arena,When the World Ends,Dave Matthews Band,1HQz5xSGE7aD1S4u5ZpWeA3NWFskEY67uxa8KS5yWEiU,0.189,-0.617,0.0653,-0.021,-0.0026,-0.289,-0.015
The Central Park Concert,When the World Ends,Dave Matthews Band,14iPzoA5YzxH2HXItGeoT42733AdDJdmhktfd9g4Hgdi,0.106,-0.124,-0.0018,-0.044,-0.0026,-0.13,0.088
The Central Park Concert,When the World Ends,Dave Matthews Band,1HQz5xSGE7aD1S4u5ZpWeA2733AdDJdmhktfd9g4Hgdi,0.106,-0.124,-0.0018,-0.044,-0.0026,-0.13,0.088
Live Trax Vol. 25: UMB Bank Pavilion,Where Are You Going,Dave Matthews Band,15MhLnkZLJe4Z2tLISwe5k5Nkwdbw4aqqSDE8I3QRhxi,-0.058,-2.145,0.0199,0.022,-0.1495,-0.027,0.196
Live Trax Vol. 25: UMB Bank Pavilion,Where Are You Going,Dave Matthews Band,5EjZXJ4nVpw7uI6eso1SFS5Nkwdbw4aqqSDE8I3QRhxi,-0.058,-2.145,0.0199,0.022,-0.1495,-0.027,0.196
Live Trax Vol. 2: Golden Gate Park,Where Are You Going,Dave Matthews Band,15MhLnkZLJe4Z2tLISwe5k6vU82TdHhEskCJov3GPaFA,0.23,0.118,0.0063,0.02,-0.1474,-0.016,-0.011
Live Trax Vol. 2: Golden Gate Park,Where Are You Going,Dave Matthews Band,5EjZXJ4nVpw7uI6eso1SFS6vU82TdHhEskCJov3GPaFA,0.23,0.118,0.0063,0.02,-0.1474,-0.016,-0.011
Live Trax Vol. 9: MGM Grand Garden Arena,Where Are You Going,Dave Matthews Band,15MhLnkZLJe4Z2tLISwe5k1vmePfVnbftKXhn4BGbWQ1,0.183,-1.465,0.0347,0.02,-0.142,-0.111,-0.353
Live Trax Vol. 9: MGM Grand Garden Arena,Where Are You Going,Dave Matthews Band,5EjZXJ4nVpw7uI6eso1SFS1vmePfVnbftKXhn4BGbWQ1,0.183,-1.465,0.0347,0.02,-0.142,-0.111,-0.353
The Central Park Concert,Where Are You Going,Dave Matthews Band,15MhLnkZLJe4Z2tLISwe5k375SLAFASTGRp8ebcbWFZb,0.219,-4.728,0.0081,-0.168,-0.1425,0.037,-0.37
The Central Park Concert,Where Are You Going,Dave Matthews Band,5EjZXJ4nVpw7uI6eso1SFS375SLAFASTGRp8ebcbWFZb,0.219,-4.728,0.0081,-0.168,-0.1425,0.037,-0.37
Live Trax Vol. 22: Montage Mountain,Why I Am,Dave Matthews Band,55mm4fBiN9wbcUYdliAQ8V0aujnRxdEBEucxvopgpDj4,0.015,0.301,0.2706,-0.297,0.0001,-0.556,0.157
"Live Trax Vol. 27: Luna Park, Buenos Aires, Argentina",Why I Am,Dave Matthews Band,55mm4fBiN9wbcUYdliAQ8V18Lc5EJTelkO9MNDPghVZL,-0.088,2.348,0.0566,-0.2,0.0001,-0.452,0.0163
"Live Trax Vol. 29: Blossom Music Center, Cuyahoga Falls, OH",Why I Am,Dave Matthews Band,55mm4fBiN9wbcUYdliAQ8V55px2VH7yNLiWnUkex0kdj,-0.043,-2.628,0.0191,-0.238,1.83e-06,-0.221,0.0315
DMB Live Trax Vol. 13,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP33hj6p6e2Ms5HmS3bhBhBk3,0.183,3.649,0.0761,-0.358,0.253,-0.619,-0.0653
DMB Live Trax Vol. 13,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN3hj6p6e2Ms5HmS3bhBhBk3,0.183,3.649,0.0761,-0.358,0.253,-0.619,-0.0653
Live At Mile High Music Festival,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP306CiRmanmGtIpx7SHKHByR,0.236,3.567,0.0741,-0.367,-0.1182,-0.499,-0.0577
Live At Mile High Music Festival,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP35MsDn1FRc672P3EWMbeQ3b,0.236,3.567,0.0741,-0.367,-0.1182,-0.499,-0.0577
Live At Mile High Music Festival,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN06CiRmanmGtIpx7SHKHByR,0.236,3.567,0.0741,-0.367,-0.1182,-0.499,-0.0577
Live At Mile High Music Festival,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN5MsDn1FRc672P3EWMbeQ3b,0.236,3.567,0.0741,-0.367,-0.1182,-0.499,-0.0577
Live At Piedmont Park,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP36HAIARTmHiGudioH2ZSYG7,0.185,1.876,0.0631,-0.363,-0.123,-0.586,0.1287
Live At Piedmont Park,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP37wso0LpquoqFFkQuN8EIh4,0.185,1.876,0.0631,-0.363,-0.123,-0.586,0.1287
Live At Piedmont Park,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN6HAIARTmHiGudioH2ZSYG7,0.185,1.876,0.0631,-0.363,-0.123,-0.586,0.1287
Live At Piedmont Park,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN7wso0LpquoqFFkQuN8EIh4,0.185,1.876,0.0631,-0.363,-0.123,-0.586,0.1287
Live At Wrigley Field,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP30Yq23CbxMVn8HhEEPlO5IP,0.233,7.319,0.1511,-0.446,-0.1236,-0.78,-0.065
Live At Wrigley Field,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP31NFzD6jXwgjuBHH98LvMA6,0.233,7.319,0.1511,-0.446,-0.1236,-0.78,-0.065
Live At Wrigley Field,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN0Yq23CbxMVn8HhEEPlO5IP,0.233,7.319,0.1511,-0.446,-0.1236,-0.78,-0.065
Live At Wrigley Field,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN1NFzD6jXwgjuBHH98LvMA6,0.233,7.319,0.1511,-0.446,-0.1236,-0.78,-0.065
Live In New York City,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP30w0cGSm5YTlCym0H4N73jI,0.211,7.899,0.0426,-0.362,-0.1113,-0.483,-0.0676
Live In New York City,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP31mNHSLSII3a7n9rOW8ON7k,0.211,7.899,0.0426,-0.362,-0.1113,-0.483,-0.0676
Live In New York City,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN0w0cGSm5YTlCym0H4N73jI,0.211,7.899,0.0426,-0.362,-0.1113,-0.483,-0.0676
Live In New York City,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN1mNHSLSII3a7n9rOW8ON7k,0.211,7.899,0.0426,-0.362,-0.1113,-0.483,-0.0676
Live Trax Vol. 13: Busch Stadium,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP33gxfMj0kurSLonUbHokt0K,0.184,8.889,0.0442,-0.341,0.18,-0.606,-0.0655
Live Trax Vol. 13: Busch Stadium,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN3gxfMj0kurSLonUbHokt0K,0.184,8.889,0.0442,-0.341,0.18,-0.606,-0.0655
Live Trax Vol. 14: Nissan Pavilion,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP36NwUkj5iJ9oGGaoDURO35I,0.137,7.218,0.0142,-0.342,0.077,-0.358,-0.0681
Live Trax Vol. 14: Nissan Pavilion,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN6NwUkj5iJ9oGGaoDURO35I,0.137,7.218,0.0142,-0.342,0.077,-0.358,-0.0681
Live Trax Vol. 15: Alpine Valley Music Theatre,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP37EulGJbOUnjLzrPsXnni3z,0.188,4.361,0.0941,-0.331,-0.0991,-0.628,-0.0671
Live Trax Vol. 15: Alpine Valley Music Theatre,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN7EulGJbOUnjLzrPsXnni3z,0.188,4.361,0.0941,-0.331,-0.0991,-0.628,-0.0671
Live Trax Vol. 19: Vivo Rio,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP35tmo8AGlZkqtKZeRk7bGYn,0.2,9.003,0.0303,-0.317,0.526,-0.382,-0.068
Live Trax Vol. 19: Vivo Rio,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN5tmo8AGlZkqtKZeRk7bGYn,0.2,9.003,0.0303,-0.317,0.526,-0.382,-0.068
Live Trax Vol. 22: Montage Mountain,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP34i2fF0ONExA61TQWVoGxAD,0.232,6.066,0.1101,-0.406,0.05,-0.596,-0.0666
Live Trax Vol. 22: Montage Mountain,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN4i2fF0ONExA61TQWVoGxAD,0.232,6.066,0.1101,-0.406,0.05,-0.596,-0.0666
Live Trax Vol. 9: MGM Grand Garden Arena,You Might Die Trying,Dave Matthews Band,1OpQKRDEmTl3zG9NJAgzP363H4rOOl9Pm0mQXiBdWL8E,0.165,2.863,0.0138,-0.295,-0.0971,-0.524,-0.0333
Live Trax Vol. 9: MGM Grand Garden Arena,You Might Die Trying,Dave Matthews Band,5tCwb28rLpiyqqfu5m2CDN63H4rOOl9Pm0mQXiBdWL8E,0.165,2.863,0.0138,-0.295,-0.0971,-0.524,-0.0333
Weekend On The Rocks,You Never Know,Dave Matthews Band,1slp9bsSP5OKxDagBAD9Ty7iHPpmlXQCCM4IF1EP7QmZ,0.147,3.658,0.0581,-0.078,-9e-07,-0.148,-0.2319
Weekend On The Rocks,You Never Know,Dave Matthews Band,3Io1ccnHrEmhJODEvySuFY7iHPpmlXQCCM4IF1EP7QmZ,0.147,3.658,0.0581,-0.078,-9e-07,-0.148,-0.2319
Trampin'... Live aux Vieilles Charrues 2004,25th Floor,Patti Smith,2SpFoJXWbXwQcngPviflJt2QBm2olAZsc7THZGOKNh3a,0.099,-2.695,0.0229,-0.104,0.0012,-0.259,-0.0245
Trampin'... Live aux Vieilles Charrues 2004,25th Floor,Patti Smith,4juJw163tH0zGCptRcoTM42QBm2olAZsc7THZGOKNh3a,0.157,-2.784,0.0233,-0.117,0.0012,-0.205,-0.015
Trampin'... Live aux Vieilles Charrues 2004,Beneath the Southern Cross,Patti Smith,1KRWRshqiMiYm6cTped4pp43n5BM50FIIEhfkp2y5etW,-0.032,17.597,0.0001,-0.224,0.0997,-0.037,-0.2058
Trampin'... Live aux Vieilles Charrues 2004,Beneath the Southern Cross,Patti Smith,6YMw3nlqkcOcNMQvVE5f4d43n5BM50FIIEhfkp2y5etW,-0.042,16.88,0.0004,-0.228,0.1007,-0.062,-0.1388
Trampin'... Live aux Vieilles Charrues 2004,Break It Up,Patti Smith,5zE0J5kDTbcQeMYnxRj0QY1kgjzNv2zthcz7OwGEQUwS,0.068,16.652,-0.0019,-0.048,0.0,-0.077,-0.0832
Trampin'... Live aux Vieilles Charrues 2004,Cartwheels,Patti Smith,1PvhJrDsE19SKZXIsvVB0d6WnCyC9bbzYsxH9rfVcTyi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Cartwheels,Patti Smith,1iCD9ahpRqRBA118LstoEl6WnCyC9bbzYsxH9rfVcTyi,-0.041,-0.062,-0.0009,-0.008,0.0043,0.013,0.0004
Trampin'... Live aux Vieilles Charrues 2004,Cartwheels,Patti Smith,2Aq5kPekMxt1PnDff4jfEn6WnCyC9bbzYsxH9rfVcTyi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Cartwheels,Patti Smith,6ssgeN62p8x23j2m3OsKe36WnCyC9bbzYsxH9rfVcTyi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Cash,Patti Smith,0KCc0bUc0a5nynTbCVbJva0JQPl6uo2SmkCCsTEvX6u5,-0.071,3.014,-0.0037,-0.202,-0.0004,-0.045,-0.0223
Trampin'... Live aux Vieilles Charrues 2004,Cash,Patti Smith,0KCc0bUc0a5nynTbCVbJva4qR4DLb1jQOQPfsJBs3dkY,-0.008,-0.049,0.0012,0.004,0.0002,-0.04,-0.0106
Trampin'... Live aux Vieilles Charrues 2004,Cash,Patti Smith,0ebxoAhIItzuiFUoSgNhYB0JQPl6uo2SmkCCsTEvX6u5,-0.063,3.063,-0.0049,-0.206,-0.0006,-0.005,-0.0117
Trampin'... Live aux Vieilles Charrues 2004,Cash,Patti Smith,0ebxoAhIItzuiFUoSgNhYB4qR4DLb1jQOQPfsJBs3dkY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Cash,Patti Smith,3RmD9CWMH3eKdWpAkufGUz0JQPl6uo2SmkCCsTEvX6u5,-0.063,3.063,-0.0049,-0.206,-0.0006,-0.005,-0.0117
Trampin'... Live aux Vieilles Charrues 2004,Cash,Patti Smith,3RmD9CWMH3eKdWpAkufGUz4qR4DLb1jQOQPfsJBs3dkY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Cash,Patti Smith,7wcVhjwob8HjLLpULRjmOk0JQPl6uo2SmkCCsTEvX6u5,-0.063,3.063,-0.0049,-0.206,-0.0006,-0.005,-0.0117
Trampin'... Live aux Vieilles Charrues 2004,Cash,Patti Smith,7wcVhjwob8HjLLpULRjmOk4qR4DLb1jQOQPfsJBs3dkY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Dancing Barefoot,Patti Smith,10pmopThiZFknMBM9qPi7D3VbdAWKImkGgwph9PjnYk7,0.038,-5.951,-0.0006,-0.071,0.0001,-0.234,-0.2199
Trampin'... Live aux Vieilles Charrues 2004,Dancing Barefoot,Patti Smith,4kPSjEg8u1U4pg2dHHMmtf3VbdAWKImkGgwph9PjnYk7,0.101,-6.139,0.0015,-0.069,0.0001,-0.26,-0.2259
Trampin'... Live aux Vieilles Charrues 2004,Free Money,Patti Smith,7pZvWuaxL2In8jeZ42zIho3KTEweWUnlvgQ5EO96EZmx,-0.125,2.217,-0.0384,-0.085,0.0009,-0.262,0.0454
Trampin'... Live aux Vieilles Charrues 2004,Gandhi,Patti Smith,20YUih3OCUuwxNJk6tRjmJ2sxuk3JuzeH1gDXUaGqE29,-0.004,-3.98,-0.0497,-0.085,0.0013,0.069,-0.0225
Trampin'... Live aux Vieilles Charrues 2004,Gandhi,Patti Smith,20YUih3OCUuwxNJk6tRjmJ7iKQb5nd3SsECwr9QdF5df,0.029,-0.417,-0.0013,0.009,0.0,0.042,-0.0115
Trampin'... Live aux Vieilles Charrues 2004,Gandhi,Patti Smith,2NpTACp7syqPqvc7JkQKu12sxuk3JuzeH1gDXUaGqE29,-0.033,-3.563,-0.0484,-0.094,0.0012,0.027,-0.011
Trampin'... Live aux Vieilles Charrues 2004,Gandhi,Patti Smith,2NpTACp7syqPqvc7JkQKu17iKQb5nd3SsECwr9QdF5df,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Gandhi,Patti Smith,3DjbLkq4cpvvw5aX6KdItn2sxuk3JuzeH1gDXUaGqE29,-0.033,-3.563,-0.0484,-0.094,0.0012,0.027,-0.011
Trampin'... Live aux Vieilles Charrues 2004,Gandhi,Patti Smith,3DjbLkq4cpvvw5aX6KdItn7iKQb5nd3SsECwr9QdF5df,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Gandhi,Patti Smith,6Pj5fb3T9pAMaM9BQ1uoFj2sxuk3JuzeH1gDXUaGqE29,-0.033,-3.563,-0.0484,-0.094,0.0012,0.027,-0.011
Trampin'... Live aux Vieilles Charrues 2004,Gandhi,Patti Smith,6Pj5fb3T9pAMaM9BQ1uoFj7iKQb5nd3SsECwr9QdF5df,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Jubilee,Patti Smith,1zUFeKWxd1x96CsGrpiz5B2u8hIG5IQAQlxOPBQfWtia,0.118,86.752,0.0389,-0.253,-0.0003,-0.223,0.0263
Trampin'... Live aux Vieilles Charrues 2004,Jubilee,Patti Smith,1zUFeKWxd1x96CsGrpiz5B3yVwUKSafqKlYsls62pWVI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Jubilee,Patti Smith,6DHZa18yKVMybyZrLrquAw2u8hIG5IQAQlxOPBQfWtia,0.118,86.752,0.0389,-0.253,-0.0003,-0.223,0.0263
Trampin'... Live aux Vieilles Charrues 2004,Jubilee,Patti Smith,6DHZa18yKVMybyZrLrquAw3yVwUKSafqKlYsls62pWVI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Jubilee,Patti Smith,6cpFgGf6JtAQNDuqxaFivU2u8hIG5IQAQlxOPBQfWtia,0.105,86.677,0.0362,-0.255,-0.0003,-0.184,0.0048
Trampin'... Live aux Vieilles Charrues 2004,Jubilee,Patti Smith,6cpFgGf6JtAQNDuqxaFivU3yVwUKSafqKlYsls62pWVI,-0.013,-0.075,-0.0027,-0.002,0.0,0.039,-0.0215
Trampin'... Live aux Vieilles Charrues 2004,Jubilee,Patti Smith,7vX9CRSwARDfqxVMwzlgid2u8hIG5IQAQlxOPBQfWtia,0.118,86.752,0.0389,-0.253,-0.0003,-0.223,0.0263
Trampin'... Live aux Vieilles Charrues 2004,Jubilee,Patti Smith,7vX9CRSwARDfqxVMwzlgid3yVwUKSafqKlYsls62pWVI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Mother Rose,Patti Smith,2kanLaAM6RCkSR8Pg4NXUG3VTiNdFawjgLvZxYnim630,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Mother Rose,Patti Smith,3IBfUoASEiZaNeloydMKP43VTiNdFawjgLvZxYnim630,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Mother Rose,Patti Smith,55tkrEwOyo1KPmRLWnn1MS3VTiNdFawjgLvZxYnim630,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Mother Rose,Patti Smith,5MCHIUiEjVJKuKxoMgLVZe3VTiNdFawjgLvZxYnim630,-0.005,-0.067,-0.0007,0.006,0.0018,-0.009,-0.0233
Trampin'... Live aux Vieilles Charrues 2004,My Blakean Year,Patti Smith,0puM1PefvdHYHK5kcQDXpE6Dv16BczxJl7jKjPndndAx,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,My Blakean Year,Patti Smith,1htpR3yp6yjlpvd2IV7olS6Dv16BczxJl7jKjPndndAx,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,My Blakean Year,Patti Smith,42wOatS5lRuQ84oioLn6g16Dv16BczxJl7jKjPndndAx,0.005,-0.061,-0.0012,0.005,0.0012,0.062,-0.046
Trampin'... Live aux Vieilles Charrues 2004,My Blakean Year,Patti Smith,5b7N2FvDXCIHkLLGik6R4D6Dv16BczxJl7jKjPndndAx,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Peaceable Kingdom,Patti Smith,0iFPYJC7WvCOgt31HBHP0O0L64hkH879aFhv5kU97At3,-0.095,0.645,-0.025,-0.007,-0.088,-0.074,0.144
Trampin'... Live aux Vieilles Charrues 2004,Peaceable Kingdom,Patti Smith,0iFPYJC7WvCOgt31HBHP0O0a0q6oe72MKtLlkpvwU2mx,0.035,-0.04,-0.0068,0.158,-0.0042,0.061,-0.161
Trampin'... Live aux Vieilles Charrues 2004,Peaceable Kingdom,Patti Smith,3cus7Q6wCCgN4BAGLszFQV0L64hkH879aFhv5kU97At3,-0.13,0.685,-0.0182,-0.165,-0.0838,-0.135,0.305
Trampin'... Live aux Vieilles Charrues 2004,Peaceable Kingdom,Patti Smith,3cus7Q6wCCgN4BAGLszFQV0a0q6oe72MKtLlkpvwU2mx,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Peaceable Kingdom,Patti Smith,3oCSCEI08JkG3kQdqFrUDa0L64hkH879aFhv5kU97At3,-0.13,0.685,-0.0182,-0.165,-0.0838,-0.135,0.305
Trampin'... Live aux Vieilles Charrues 2004,Peaceable Kingdom,Patti Smith,3oCSCEI08JkG3kQdqFrUDa0a0q6oe72MKtLlkpvwU2mx,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trampin'... Live aux Vieilles Charrues 2004,Peaceable Kingdom,Patti Smith,4LPEEp7wOaKhqv9AGnIgOl0L64hkH879aFhv5kU97At3,-0.13,0.685,-0.0182,-0.165,-0.0838,-0.135,0.305
